ID|Substrates|Products
R03940|['L-Methionyl-tRNA', '10-Formyltetrahydrofolate']|['Tetrahydrofolate', 'N-Formylmethionyl-tRNA']
R01655|['5,10-Methenyltetrahydrofolate']|['10-Formyltetrahydrofolate']
R01220|['5,10-Methylenetetrahydrofolate', 'NADP+']|['5,10-Methenyltetrahydrofolate', 'NADPH']
R02059|['N-Acetyl-D-glucosamine 6-phosphate']|['D-Glucosamine 6-phosphate', 'Acetate']
R05168|['N-Acetyl-D-galactosamine 6-phosphate']|['D-Galactosamine 6-phosphate', 'Acetate']
R02705|['ATP', 'N-Acetyl-D-mannosamine']|['ADP', 'N-Acetyl-D-mannosamine 6-phosphate']
R00104|['ATP', 'NAD+']|['ADP', 'NADP+']
R00189|['ATP', 'Deamino-NAD+', 'Ammonia']|['AMP', 'Diphosphate', 'NAD+']
R01271|['Nicotinamide D-ribonucleotide', 'Diphosphate']|['Nicotinamide', '5-Phospho-alpha-D-ribose 1-diphosphate']
R03005|['ATP', 'Nicotinate D-ribonucleotide']|['Diphosphate', 'Deamino-NAD+']
R00137|['ATP', 'Nicotinamide D-ribonucleotide']|['Diphosphate', 'NAD+']
R00230|['Acetyl-CoA', 'Orthophosphate']|['CoA', 'Acetyl phosphate']
R00921|['Propanoyl-CoA', 'Orthophosphate']|['Propanoyl phosphate', 'CoA']
R01799|['CTP', 'Phosphatidate']|['Diphosphate', 'CDP-diacylglycerol']
R02239|['Phosphatidate']|['1,2-Diacyl-sn-glycerol', 'Orthophosphate']
R04162|['2-Acyl-1-alkyl-sn-glycero-3-phosphate']|['1-Alkyl-2-acylglycerol', 'Orthophosphate']
R06520|['Sphinganine 1-phosphate']|['Sphinganine', 'Orthophosphate']
R06521|['Sphingosine 1-phosphate']|['Sphingosine', 'Orthophosphate']
R06522|['Ceramide 1-phosphate']|['N-Acylsphingosine', 'Orthophosphate']
R02029|['Phosphatidylglycerophosphate']|['Phosphatidylglycerol', 'Orthophosphate']
R01512|['ATP', '3-Phospho-D-glycerate']|['ADP', '3-Phospho-D-glyceroyl phosphate']
R01561|['Adenosine', 'Orthophosphate']|['Adenine', 'alpha-D-Ribose 1-phosphate']
R01863|['Inosine', 'Orthophosphate']|['Hypoxanthine', 'alpha-D-Ribose 1-phosphate']
R02147|['Guanosine', 'Orthophosphate']|['Guanine', 'alpha-D-Ribose 1-phosphate']
R02297|['Xanthosine', 'Orthophosphate']|['Xanthine', 'alpha-D-Ribose 1-phosphate']
R01969|['Deoxyguanosine', 'Orthophosphate']|['Guanine', '2-Deoxy-D-ribose 1-phosphate']
R02557|['Deoxyadenosine', 'Orthophosphate']|['Adenine', '2-Deoxy-D-ribose 1-phosphate']
R02748|['Deoxyinosine', 'Orthophosphate']|['Hypoxanthine', '2-Deoxy-D-ribose 1-phosphate']
R02294|['Nicotinamide-beta-riboside', 'Orthophosphate']|['Nicotinamide', 'alpha-D-Ribose 1-phosphate']
R02295|['Nicotinate D-ribonucleoside', 'Orthophosphate']|['Nicotinate', 'alpha-D-Ribose 1-phosphate']
R00200|['ATP', 'Pyruvate']|['ADP', 'Phosphoenolpyruvate']
R00430|['GTP', 'Pyruvate']|['GDP', 'Phosphoenolpyruvate']
R01138|['dATP', 'Pyruvate']|['dADP', 'Phosphoenolpyruvate']
R01858|['dGTP', 'Pyruvate']|['dGDP', 'Phosphoenolpyruvate']
R00549|['ATP', 'Riboflavin']|['ADP', 'FMN']
R02017|['dADP', 'Thioredoxin disulfide']|['Thioredoxin', 'ADP']
R02018|['dUDP', 'Thioredoxin disulfide']|['Thioredoxin', 'UDP']
R02019|['dGDP', 'Thioredoxin disulfide']|['GDP', 'Thioredoxin']
R02024|['dCDP', 'Thioredoxin disulfide']|['Thioredoxin', 'CDP']
R08363|["2'-Deoxyribonucleoside diphosphate", 'Tryparedoxin disulfide']|['Ribonucleoside diphosphate', 'Tryparedoxin']
